video_id,titulo,categoria,fecha_publicacion,duracion_segundos,views_totales,likes,comentarios
golazo_sint_0281,Análisis del partido - Jornada 282,Seguimiento del club,2024-10-20,112,161,5,1
golazo_sint_0282,Análisis del partido - Jornada 283,Seguimiento del club,2024-11-04,667,13421,580,108
golazo_sint_0283,Análisis del partido - Jornada 284,Seguimiento del club,2024-11-14,523,220,7,1
golazo_sint_0284,Análisis del partido - Jornada 285,Seguimiento del club,2024-11-28,753,2486,97,17
golazo_sint_0285,Análisis del partido - Jornada 286,Seguimiento del club,2024-12-13,688,2518,103,14
golazo_sint_0286,Nuestra opinión tras el partido #287,Opinión post-partido,2024-12-25,517,261,9,2
golazo_sint_0287,Rumores de fichajes: novedad #288,Fichajes,2025-01-01,4743,1390,78,14
golazo_sint_0288,Análisis del partido - Jornada 289,Seguimiento del club,2025-01-16,852,2327,97,19
golazo_sint_0289,Análisis del partido - Jornada 290,Seguimiento del club,2025-01-27,429,7903,317,56
golazo_sint_0290,Nuestra opinión tras el partido #291,Opinión post-partido,2025-02-06,653,777,32,5
golazo_sint_0291,Rumores de fichajes: novedad #292,Fichajes,2025-02-24,480,904,27,6
golazo_sint_0292,Curiosidad futbolística #293,Curiosidades de fútbol,2025-03-08,287,14500,549,127
golazo_sint_0293,Nuestra opinión tras el partido #294,Opinión post-partido,2025-03-17,446,319,9,2
golazo_sint_0294,Análisis del partido - Jornada 295,Seguimiento del club,2025-04-02,61,10873,411,64
golazo_sint_0295,Análisis del partido - Jornada 296,Seguimiento del club,2025-04-13,549,2932,105,24
golazo_sint_0296,Análisis del partido - Jornada 297,Seguimiento del club,2025-04-25,851,9817,441,59
golazo_sint_0297,Análisis del partido - Jornada 298,Seguimiento del club,2025-05-04,60,15757,703,142
golazo_sint_0298,Análisis del partido - Jornada 299,Seguimiento del club,2025-05-17,60,6815,224,60
golazo_sint_0299,Análisis del partido - Jornada 300,Seguimiento del club,2025-06-04,910,850,31,5
golazo_sint_0300,Nuestra opinión tras el partido #301,Opinión post-partido,2025-06-17,606,5910,293,47
golazo_sint_0301,Análisis del partido - Jornada 302,Seguimiento del club,2025-06-26,958,307,15,3
golazo_sint_0302,Curiosidad futbolística #303,Curiosidades de fútbol,2025-07-11,584,1630,75,15
golazo_sint_0303,Nuestra opinión tras el partido #304,Opinión post-partido,2025-07-21,3724,523,23,4
golazo_sint_0304,Rumores de fichajes: novedad #305,Fichajes,2025-07-30,1448,15104,849,157
golazo_sint_0305,Análisis del partido - Jornada 306,Seguimiento del club,2025-08-12,411,3443,170,39
golazo_sint_0306,Así vive la afición el partido #307,Afición,2025-08-25,60,1127,48,12
golazo_sint_0307,Nuestra opinión tras el partido #308,Opinión post-partido,2025-09-11,1060,2122,74,10
golazo_sint_0308,Así vive la afición el partido #309,Afición,2025-09-23,705,6077,284,49
golazo_sint_0309,Nuestra opinión tras el partido #310,Opinión post-partido,2025-10-05,108,14994,692,256
golazo_sint_0310,Nuestra opinión tras el partido #311,Opinión post-partido,2025-10-18,65,11769,614,117
golazo_sint_0311,Nuestra opinión tras el partido #312,Opinión post-partido,2025-10-25,590,7448,329,34
golazo_sint_0312,Análisis del partido - Jornada 313,Seguimiento del club,2025-11-07,111,3610,173,20
golazo_sint_0313,Análisis del partido - Jornada 314,Seguimiento del club,2025-11-18,523,977,41,5
golazo_sint_0314,Curiosidad futbolística #315,Curiosidades de fútbol,2025-12-06,625,3012,105,14
golazo_sint_0315,Nuestra opinión tras el partido #316,Opinión post-partido,2025-12-19,598,2225,97,17
golazo_sint_0316,Rumores de fichajes: novedad #317,Fichajes,2025-12-27,60,1617,46,14
golazo_sint_0317,Análisis del partido - Jornada 318,Seguimiento del club,2026-01-10,533,546,18,2
golazo_sint_0318,Análisis del partido - Jornada 319,Seguimiento del club,2026-01-19,946,2257,80,23
golazo_sint_0319,Nuestra opinión tras el partido #320,Opinión post-partido,2026-02-06,60,11175,333,120
golazo_sint_0320,Análisis del partido - Jornada 321,Seguimiento del club,2026-02-18,109,172,6,1
golazo_sint_0321,Análisis del partido - Jornada 322,Seguimiento del club,2026-03-03,655,4115,124,31
golazo_sint_0322,Nuestra opinión tras el partido #323,Opinión post-partido,2026-03-15,853,105,3,1
golazo_sint_0323,Análisis del partido - Jornada 324,Seguimiento del club,2026-03-27,60,21900,709,212
golazo_sint_0324,Curiosidad futbolística #325,Curiosidades de fútbol,2026-04-02,60,5405,179,66
golazo_sint_0325,Análisis del partido - Jornada 326,Seguimiento del club,2026-04-20,782,22936,721,215
golazo_sint_0326,Rumores de fichajes: novedad #327,Fichajes,2026-04-29,588,1710,76,18
golazo_sint_0327,Nuestra opinión tras el partido #328,Opinión post-partido,2026-05-16,509,1683,47,19
golazo_sint_0328,Rumores de fichajes: novedad #329,Fichajes,2026-05-28,519,7736,359,70
golazo_sint_0329,Análisis del partido - Jornada 330,Seguimiento del club,2026-06-09,912,1217,59,13
golazo_sint_0330,Nuestra opinión tras el partido #331,Opinión post-partido,2026-06-21,60,540,23,8
golazo_sint_0331,Nuestra opinión tras el partido #332,Opinión post-partido,2026-06-30,549,2333,91,22
golazo_sint_0332,Nuestra opinión tras el partido #333,Opinión post-partido,2026-07-16,1464,80,3,0
golazo_sint_0333,Así vive la afición el partido #334,Afición,2026-07-23,548,5845,165,59
golazo_sint_0334,Curiosidad futbolística #335,Curiosidades de fútbol,2026-08-10,442,342,10,3
golazo_sint_0335,Análisis del partido - Jornada 336,Seguimiento del club,2026-08-22,2457,21283,627,217
golazo_sint_0336,Nuestra opinión tras el partido #337,Opinión post-partido,2026-08-30,290,618,26,3
golazo_sint_0337,Nuestra opinión tras el partido #338,Opinión post-partido,2026-09-14,60,2029,59,24
